id_reserva,id_pasajero,id_vuelo,numero_asiento,fecha_hora_reserva,motivo_viaje,tipo_boleto,estado
69,69,5,5-07,2024-11-11 12:33:02,Turismo,Económico,Pendiente
70,70,5,5-13,2024-03-28 15:26:13,Estudio,Ejecutivo,Cancelado
71,71,7,7-16,2024-04-10 14:52:54,Estudio,Primera Clase,Pendiente
72,72,7,7-38,2024-03-05 03:41:35,Trabajo,Económico,Cancelado
73,73,4,4-05,2024-05-10 04:56:31,Estudio,Primera Clase,Pendiente
74,74,9,9-10,2024-03-11 18:33:03,Negocios,Ejecutivo,Confirmada
75,75,6,6-20,2024-09-06 03:03:48,Turismo,Primera Clase,Cancelado
76,76,10,10-15,2024-09-13 16:52:30,Trabajo,Primera Clase,Cancelado
77,77,7,7-06,2024-07-16 05:12:28,Turismo,Económico,Confirmada
78,78,7,7-28,2024-08-30 15:46:02,Estudio,Económico,Confirmada
79,79,1,1-01,2024-09-21 22:57:57,Negocios,Primera Clase,Cancelado
80,80,3,3-31,2024-01-07 19:36:09,Estudio,Ejecutivo,Pendiente
81,81,3,3-24,2024-10-20 09:36:37,Trabajo,Económico,Pendiente
82,82,10,10-01,2024-04-29 20:09:08,Estudio,Económico,Pendiente
83,83,2,2-13,2024-10-27 14:42:12,Negocios,Económico,Cancelado
84,84,9,9-08,2024-01-23 06:40:59,Trabajo,Económico,Cancelado
85,85,1,1-13,2024-07-30 00:00:53,Estudio,Ejecutivo,Pendiente
86,86,5,5-18,2024-01-13 11:55:35,Estudio,Primera Clase,Pendiente
87,87,6,6-22,2024-01-20 03:24:48,Trabajo,Económico,Confirmada
88,88,8,8-03,2024-02-06 23:03:45,Turismo,Primera Clase,Confirmada
89,89,8,8-35,2024-01-10 05:45:01,Trabajo,Ejecutivo,Cancelado
90,90,3,3-27,2024-01-31 20:55:16,Trabajo,Primera Clase,Pendiente
91,91,3,3-38,2024-10-06 20:48:19,Estudio,Primera Clase,Cancelado
92,92,9,9-35,2024-09-20 03:16:17,Turismo,Económico,Cancelado
93,93,5,5-08,2024-07-19 20:01:53,Estudio,Económico,Pendiente
94,94,8,8-23,2024-09-25 16:59:29,Negocios,Primera Clase,Pendiente
95,95,3,3-12,2024-11-04 13:26:40,Estudio,Económico,Confirmada
96,96,4,4-36,2024-06-10 00:53:45,Estudio,Económico,Pendiente
97,97,3,3-40,2024-06-02 07:26:09,Estudio,Económico,Confirmada
98,98,5,5-20,2024-03-28 11:37:39,Trabajo,Ejecutivo,Pendiente
99,99,7,7-09,2024-09-11 17:48:54,Estudio,Ejecutivo,Confirmada
100,100,10,10-15,2024-05-19 13:18:59,Trabajo,Primera Clase,Cancelado
101,101,8,8-03,2024-02-12 14:38:13,Turismo,Primera Clase,Pendiente
102,102,9,9-04,2024-03-31 21:24:09,Estudio,Ejecutivo,Cancelado
103,103,6,6-34,2024-02-26 16:05:09,Trabajo,Primera Clase,Cancelado
104,104,10,10-45,2024-04-12 06:17:19,Trabajo,Económico,Confirmada
105,105,5,5-16,2024-04-15 06:33:27,Turismo,Económico,Pendiente
106,106,4,4-17,2024-08-16 01:25:18,Turismo,Ejecutivo,Cancelado
107,107,1,1-25,2024-03-25 14:25:28,Negocios,Económico,Pendiente
108,108,6,6-27,2024-06-13 23:07:21,Trabajo,Económico,Pendiente
109,109,2,2-01,2024-10-19 09:53:16,Negocios,Ejecutivo,Pendiente
110,110,2,2-12,2024-02-06 18:42:18,Negocios,Ejecutivo,Confirmada
111,111,9,9-10,2024-09-10 09:47:04,Turismo,Primera Clase,Pendiente
112,112,9,9-41,2024-09-05 09:57:22,Trabajo,Ejecutivo,Pendiente
113,113,8,8-45,2024-10-29 00:58:33,Trabajo,Primera Clase,Cancelado
114,114,2,2-16,2024-03-08 04:13:32,Trabajo,Económico,Pendiente
115,115,1,1-33,2024-10-15 01:13:09,Negocios,Ejecutivo,Cancelado
116,116,4,4-21,2024-07-18 04:45:50,Negocios,Económico,Cancelado
117,117,7,7-39,2024-11-05 03:59:54,Trabajo,Económico,Cancelado
118,118,9,9-34,2024-07-13 15:39:24,Turismo,Primera Clase,Cancelado
119,119,6,6-23,2024-10-29 22:37:37,Negocios,Primera Clase,Pendiente
120,120,4,4-36,2024-01-12 00:50:28,Trabajo,Primera Clase,Confirmada
121,121,4,4-37,2024-01-29 05:26:40,Estudio,Ejecutivo,Pendiente
122,122,6,6-06,2024-05-03 06:35:14,Trabajo,Económico,Confirmada
123,123,4,4-05,2024-07-01 20:28:32,Turismo,Económico,Confirmada
124,124,4,4-20,2024-10-19 17:49:14,Negocios,Primera Clase,Confirmada
125,125,1,1-08,2024-04-13 23:42:32,Turismo,Económico,Pendiente
126,126,7,7-18,2024-05-07 18:17:43,Trabajo,Ejecutivo,Cancelado
127,127,6,6-24,2024-09-21 04:36:00,Turismo,Primera Clase,Confirmada
128,128,9,9-16,2024-03-26 19:49:39,Negocios,Ejecutivo,Pendiente
129,129,1,1-18,2024-05-16 21:24:26,Trabajo,Económico,Confirmada
130,130,9,9-25,2024-04-17 09:23:27,Estudio,Primera Clase,Pendiente
131,131,3,3-41,2024-07-16 10:09:19,Turismo,Primera Clase,Cancelado
132,132,1,1-36,2024-03-24 19:25:50,Estudio,Primera Clase,Confirmada
133,133,3,3-14,2024-06-14 05:58:05,Turismo,Económico,Pendiente
134,134,8,8-18,2024-04-05 21:28:45,Negocios,Primera Clase,Confirmada
135,135,6,6-06,2024-08-12 09:22:49,Negocios,Ejecutivo,Cancelado
136,136,5,5-08,2024-08-01 04:46:24,Estudio,Económico,Cancelado
137,137,8,8-24,2024-05-14 09:15:07,Negocios,Ejecutivo,Cancelado
138,138,2,2-46,2024-10-05 09:00:38,Estudio,Primera Clase,Pendiente
139,139,3,3-23,2024-10-20 18:17:40,Negocios,Ejecutivo,Cancelado
140,140,7,7-13,2024-02-27 15:44:07,Negocios,Primera Clase,Pendiente
141,141,5,5-13,2024-01-17 19:56:41,Turismo,Ejecutivo,Confirmada
142,142,6,6-12,2024-04-03 19:16:18,Negocios,Económico,Cancelado
143,143,9,9-36,2024-07-17 20:58:04,Turismo,Económico,Cancelado
144,144,2,2-29,2024-03-16 03:30:49,Trabajo,Ejecutivo,Cancelado
145,145,2,2-44,2024-09-26 14:20:49,Trabajo,Primera Clase,Cancelado
146,146,4,4-35,2024-11-12 14:09:06,Estudio,Primera Clase,Pendiente
147,147,1,1-09,2024-07-16 11:11:36,Estudio,Económico,Cancelado
148,148,8,8-12,2024-05-22 07:12:56,Turismo,Primera Clase,Pendiente
149,149,3,3-29,2024-08-05 09:17:38,Negocios,Ejecutivo,Cancelado
150,150,10,10-31,2024-02-12 23:53:30,Estudio,Económico,Cancelado
151,151,10,10-10,2024-08-30 08:51:39,Negocios,Ejecutivo,Cancelado
152,152,6,6-26,2024-07-23 05:28:15,Trabajo,Primera Clase,Confirmada
153,153,7,7-12,2024-05-31 13:22:44,Turismo,Ejecutivo,Confirmada
154,154,1,1-11,2024-04-16 00:28:14,Estudio,Económico,Confirmada
155,155,2,2-18,2024-05-13 14:32:47,Estudio,Ejecutivo,Cancelado
156,156,10,10-38,2024-06-06 04:35:58,Estudio,Primera Clase,Pendiente
157,157,6,6-18,2024-06-04 14:08:48,Trabajo,Ejecutivo,Confirmada
158,158,1,1-14,2024-05-16 06:04:27,Negocios,Económico,Pendiente
159,159,8,8-42,2024-10-27 10:50:23,Turismo,Económico,Confirmada
160,160,5,5-10,2024-09-03 06:07:06,Negocios,Ejecutivo,Pendiente
161,161,6,6-01,2024-08-22 08:55:25,Estudio,Ejecutivo,Confirmada
162,162,10,10-32,2024-06-06 23:36:01,Trabajo,Primera Clase,Cancelado
163,163,1,1-10,2024-01-25 12:05:44,Turismo,Económico,Cancelado
164,164,8,8-26,2024-02-02 22:09:41,Estudio,Económico,Confirmada
165,165,6,6-07,2024-10-23 18:15:36,Turismo,Primera Clase,Pendiente
166,166,8,8-39,2024-10-31 21:55:16,Turismo,Primera Clase,Pendiente
167,167,10,10-27,2024-02-06 09:50:56,Trabajo,Primera Clase,Confirmada
168,168,8,8-23,2024-10-12 21:45:38,Trabajo,Ejecutivo,Cancelado
169,169,4,4-27,2024-08-03 08:33:08,Turismo,Económico,Pendiente
170,170,4,4-24,2024-10-12 04:07:38,Estudio,Ejecutivo,Cancelado
171,171,10,10-26,2024-01-14 22:56:39,Trabajo,Económico,Pendiente
172,172,1,1-40,2024-07-14 18:17:15,Trabajo,Primera Clase,Confirmada
173,173,2,2-07,2024-09-28 21:46:36,Estudio,Ejecutivo,Confirmada
174,174,4,4-08,2024-04-26 09:19:53,Negocios,Económico,Cancelado
175,175,6,6-32,2024-06-05 09:03:07,Turismo,Económico,Pendiente
176,176,5,5-21,2024-06-04 02:32:07,Turismo,Primera Clase,Cancelado
177,177,4,4-17,2024-07-06 16:22:58,Estudio,Primera Clase,Cancelado
178,178,6,6-25,2024-01-26 03:59:38,Turismo,Ejecutivo,Confirmada
179,179,7,7-28,2024-01-16 08:12:23,Turismo,Ejecutivo,Pendiente
180,180,6,6-29,2024-05-15 02:32:11,Trabajo,Ejecutivo,Cancelado
181,181,3,3-33,2024-05-06 16:53:34,Estudio,Ejecutivo,Confirmada
182,182,1,1-38,2024-03-01 17:48:43,Negocios,Ejecutivo,Confirmada
183,183,10,10-25,2024-01-14 06:39:52,Trabajo,Ejecutivo,Pendiente
184,184,6,6-12,2024-02-15 08:23:15,Trabajo,Ejecutivo,Cancelado
185,185,6,6-34,2024-05-27 08:18:01,Trabajo,Ejecutivo,Cancelado
186,186,10,10-23,2024-01-08 13:39:30,Turismo,Primera Clase,Confirmada
187,187,4,4-37,2024-07-30 22:36:14,Trabajo,Económico,Confirmada
188,188,6,6-18,2024-04-10 14:08:26,Estudio,Económico,Confirmada
189,189,4,4-15,2024-07-26 18:43:51,Turismo,Ejecutivo,Confirmada
190,190,5,5-17,2024-05-16 03:13:42,Trabajo,Primera Clase,Cancelado
191,191,7,7-06,2024-06-02 02:47:23,Turismo,Ejecutivo,Cancelado
192,192,10,10-35,2024-04-21 14:38:10,Negocios,Ejecutivo,Confirmada
193,193,5,5-17,2024-08-06 11:18:46,Estudio,Primera Clase,Pendiente
194,194,9,9-13,2024-03-28 03:52:28,Estudio,Ejecutivo,Pendiente
195,195,3,3-26,2024-06-26 04:49:44,Estudio,Ejecutivo,Confirmada
196,196,3,3-13,2024-09-01 19:37:19,Turismo,Primera Clase,Pendiente
197,197,9,9-38,2024-04-18 18:46:30,Negocios,Primera Clase,Cancelado
198,198,7,7-03,2024-03-30 23:03:42,Estudio,Económico,Cancelado
199,199,7,7-28,2024-04-12 12:27:00,Estudio,Primera Clase,Pendiente
200,200,5,5-10,2024-04-27 14:44:33,Trabajo,Ejecutivo,Cancelado
201,201,8,8-46,2024-06-28 21:31:55,Trabajo,Económico,Pendiente
202,202,2,2-02,2024-06-17 18:04:15,Trabajo,Económico,Cancelado
203,203,1,1-31,2024-09-16 14:29:35,Trabajo,Primera Clase,Pendiente
204,204,6,6-25,2024-05-21 18:22:00,Trabajo,Económico,Cancelado
205,205,7,7-12,2024-02-25 02:04:15,Trabajo,Ejecutivo,Pendiente
206,206,2,2-41,2024-09-26 17:51:28,Estudio,Ejecutivo,Confirmada
207,207,10,10-40,2024-09-28 16:28:58,Negocios,Económico,Cancelado
208,208,6,6-20,2024-08-13 18:58:40,Estudio,Económico,Pendiente
209,209,8,8-07,2024-03-01 17:06:35,Estudio,Ejecutivo,Confirmada
210,210,3,3-04,2024-04-02 19:01:36,Estudio,Primera Clase,Confirmada
211,211,8,8-32,2024-02-14 08:57:41,Negocios,Ejecutivo,Pendiente
212,212,10,10-33,2024-05-27 16:04:21,Estudio,Económico,Pendiente
213,213,8,8-45,2024-01-21 21:06:36,Trabajo,Primera Clase,Confirmada
214,214,9,9-08,2024-06-14 03:01:08,Turismo,Ejecutivo,Confirmada
215,215,3,3-28,2024-06-28 07:50:29,Turismo,Primera Clase,Confirmada
216,216,4,4-29,2024-10-20 09:53:51,Negocios,Económico,Confirmada
217,217,9,9-39,2024-07-20 02:18:46,Turismo,Ejecutivo,Cancelado
218,218,3,3-28,2024-09-01 18:48:28,Estudio,Económico,Cancelado
219,219,5,5-18,2024-03-25 09:05:03,Turismo,Primera Clase,Cancelado
220,220,10,10-24,2024-07-10 03:56:42,Trabajo,Primera Clase,Cancelado
221,221,8,8-33,2024-06-08 06:03:45,Negocios,Ejecutivo,Cancelado
222,222,3,3-02,2024-03-24 14:10:02,Turismo,Económico,Pendiente
223,223,8,8-41,2024-01-18 14:59:47,Negocios,Económico,Confirmada
224,224,6,6-02,2024-01-03 20:02:14,Estudio,Ejecutivo,Confirmada
225,225,10,10-10,2024-02-24 10:17:45,Negocios,Económico,Cancelado
226,226,1,1-38,2024-07-31 21:32:26,Trabajo,Económico,Confirmada
227,227,5,5-15,2024-07-24 21:01:46,Estudio,Primera Clase,Pendiente
228,228,10,10-26,2024-09-24 07:00:08,Estudio,Ejecutivo,Cancelado
229,229,6,6-10,2024-06-25 16:02:23,Estudio,Ejecutivo,Confirmada
230,230,1,1-26,2024-02-28 00:32:48,Turismo,Económico,Cancelado
231,231,10,10-15,2024-04-13 14:28:43,Negocios,Primera Clase,Confirmada
232,232,8,8-42,2024-10-26 05:50:24,Trabajo,Primera Clase,Pendiente
233,233,1,1-32,2024-05-29 16:10:47,Estudio,Económico,Cancelado
234,234,8,8-34,2024-03-26 04:45:35,Trabajo,Ejecutivo,Confirmada
235,235,7,7-32,2024-01-10 22:01:41,Estudio,Económico,Confirmada
236,236,1,1-32,2024-01-03 01:01:36,Trabajo,Primera Clase,Pendiente
237,237,9,9-16,2024-08-17 23:20:37,Estudio,Ejecutivo,Confirmada
238,238,5,5-10,2024-04-07 18:55:12,Estudio,Primera Clase,Pendiente
239,239,5,5-05,2024-05-27 06:40:49,Turismo,Ejecutivo,Pendiente
240,240,9,9-34,2024-10-15 16:10:05,Estudio,Ejecutivo,Cancelado
241,241,4,4-34,2024-04-19 07:38:45,Estudio,Económico,Confirmada
242,242,5,5-08,2024-01-12 18:10:40,Estudio,Económico,Cancelado
243,243,7,7-40,2024-07-07 19:11:48,Turismo,Ejecutivo,Cancelado
244,244,9,9-35,2024-10-12 23:34:34,Turismo,Ejecutivo,Pendiente
245,245,2,2-19,2024-03-14 14:40:55,Negocios,Ejecutivo,Confirmada
246,246,4,4-37,2024-01-14 16:32:35,Estudio,Económico,Pendiente
247,247,6,6-29,2024-06-06 00:13:44,Turismo,Ejecutivo,Cancelado
248,248,7,7-38,2024-07-31 18:18:00,Negocios,Primera Clase,Cancelado
249,249,3,3-39,2024-01-05 09:00:43,Estudio,Económico,Cancelado
250,250,7,7-13,2024-06-23 04:01:59,Trabajo,Primera Clase,Confirmada
251,251,1,1-20,2024-06-05 08:20:59,Turismo,Ejecutivo,Confirmada
252,252,3,3-39,2024-06-18 12:04:20,Estudio,Primera Clase,Pendiente
253,253,7,7-32,2024-10-22 02:28:17,Trabajo,Primera Clase,Pendiente
254,254,9,9-27,2024-06-29 01:17:03,Trabajo,Primera Clase,Confirmada
255,255,6,6-20,2024-06-22 14:35:58,Negocios,Económico,Pendiente
256,256,10,10-38,2024-02-11 13:30:59,Turismo,Ejecutivo,Confirmada
257,257,3,3-20,2024-03-29 02:59:39,Trabajo,Económico,Cancelado
258,258,7,7-18,2024-02-23 00:30:46,Trabajo,Primera Clase,Pendiente
259,259,10,10-25,2024-08-22 06:44:28,Turismo,Ejecutivo,Pendiente
260,260,3,3-03,2024-11-06 16:09:18,Estudio,Primera Clase,Confirmada
261,261,4,4-29,2024-01-14 18:13:46,Estudio,Ejecutivo,Confirmada
262,262,5,5-03,2024-09-03 22:50:51,Estudio,Ejecutivo,Cancelado
263,263,3,3-11,2024-08-08 09:00:15,Turismo,Primera Clase,Pendiente
264,264,1,1-14,2024-07-08 22:01:20,Turismo,Ejecutivo,Cancelado
265,265,1,1-15,2024-05-24 08:44:33,Negocios,Ejecutivo,Pendiente
266,266,4,4-36,2024-03-26 14:47:14,Trabajo,Ejecutivo,Cancelado
267,267,7,7-17,2024-09-26 10:54:05,Negocios,Económico,Cancelado
268,268,3,3-12,2024-02-02 10:15:11,Estudio,Primera Clase,Confirmada
269,269,4,4-35,2024-09-09 08:07:01,Turismo,Económico,Pendiente
270,270,5,5-03,2024-04-25 23:27:02,Turismo,Primera Clase,Cancelado
271,271,6,6-28,2024-06-23 07:42:37,Estudio,Primera Clase,Pendiente
272,272,4,4-13,2024-06-28 09:48:06,Trabajo,Primera Clase,Confirmada
273,273,6,6-05,2024-10-27 06:38:18,Trabajo,Primera Clase,Cancelado
274,274,1,1-16,2024-07-01 18:28:30,Negocios,Económico,Cancelado
275,275,2,2-47,2024-03-25 10:05:27,Trabajo,Ejecutivo,Confirmada
276,276,9,9-10,2024-09-19 18:42:17,Trabajo,Primera Clase,Confirmada
277,277,3,3-28,2024-02-17 16:56:24,Estudio,Primera Clase,Confirmada
278,278,2,2-37,2024-09-07 02:10:44,Negocios,Económico,Confirmada
279,279,2,2-09,2024-05-17 06:22:04,Estudio,Primera Clase,Cancelado
280,280,2,2-22,2024-01-02 08:33:29,Trabajo,Económico,Confirmada
281,281,5,5-15,2024-02-06 12:08:08,Negocios,Primera Clase,Cancelado
282,282,8,8-07,2024-06-18 16:52:03,Negocios,Económico,Pendiente
283,283,1,1-24,2024-01-04 20:29:44,Negocios,Económico,Cancelado
284,284,8,8-17,2024-03-07 22:51:53,Estudio,Primera Clase,Pendiente
285,285,7,7-26,2024-07-20 20:51:28,Turismo,Económico,Cancelado
286,286,4,4-30,2024-02-07 12:01:00,Estudio,Ejecutivo,Pendiente
287,287,9,9-24,2024-01-07 21:34:19,Estudio,Económico,Cancelado
288,288,4,4-04,2024-08-26 07:47:41,Trabajo,Ejecutivo,Pendiente
289,289,3,3-38,2024-06-03 00:28:22,Estudio,Ejecutivo,Pendiente
290,290,10,10-25,2024-01-09 09:41:08,Estudio,Ejecutivo,Cancelado
291,291,8,8-34,2024-06-20 08:54:23,Turismo,Primera Clase,Confirmada
292,292,9,9-15,2024-09-28 13:47:10,Turismo,Económico,Confirmada
293,293,4,4-09,2024-09-10 04:42:34,Trabajo,Económico,Confirmada
294,294,6,6-21,2024-06-23 02:17:42,Trabajo,Primera Clase,Pendiente
295,295,3,3-41,2024-08-10 13:13:06,Negocios,Ejecutivo,Pendiente
296,296,5,5-07,2024-03-22 16:20:13,Trabajo,Primera Clase,Pendiente
297,297,4,4-04,2024-03-30 08:49:14,Estudio,Primera Clase,Confirmada
298,298,2,2-24,2024-04-22 13:07:35,Estudio,Económico,Cancelado
299,299,2,2-01,2024-02-12 09:25:24,Negocios,Ejecutivo,Pendiente
300,300,7,7-16,2024-06-17 00:26:28,Turismo,Ejecutivo,Cancelado
301,301,3,3-28,2024-07-25 22:42:40,Turismo,Económico,Pendiente
302,302,7,7-30,2024-02-02 14:22:37,Turismo,Económico,Pendiente
303,303,4,4-33,2024-08-31 10:56:46,Negocios,Económico,Cancelado
304,304,5,5-16,2024-05-30 00:16:34,Estudio,Económico,Confirmada
305,305,2,2-33,2024-11-05 12:31:27,Estudio,Primera Clase,Confirmada
306,306,1,1-27,2024-04-27 14:14:04,Trabajo,Ejecutivo,Confirmada
307,307,9,9-02,2024-03-17 19:36:51,Trabajo,Ejecutivo,Confirmada
308,308,1,1-05,2024-04-25 01:46:08,Estudio,Ejecutivo,Cancelado
309,309,1,1-13,2024-04-10 00:04:23,Negocios,Primera Clase,Cancelado
310,310,4,4-31,2024-01-16 00:49:37,Trabajo,Primera Clase,Confirmada
311,311,4,4-25,2024-03-16 13:07:03,Turismo,Primera Clase,Cancelado
312,312,7,7-09,2024-10-30 08:01:12,Turismo,Primera Clase,Cancelado
313,313,5,5-01,2024-04-26 19:23:38,Trabajo,Económico,Confirmada
314,314,7,7-24,2024-07-06 15:13:31,Estudio,Primera Clase,Pendiente
315,315,10,10-20,2024-01-09 19:54:59,Trabajo,Económico,Confirmada
316,316,8,8-01,2024-10-25 22:36:41,Trabajo,Ejecutivo,Pendiente
317,317,9,9-20,2024-05-25 09:04:45,Turismo,Primera Clase,Confirmada
318,318,6,6-19,2024-09-10 06:01:49,Trabajo,Ejecutivo,Cancelado
319,319,3,3-04,2024-03-05 22:43:26,Estudio,Ejecutivo,Cancelado
320,320,4,4-29,2024-07-09 23:28:08,Trabajo,Ejecutivo,Cancelado
321,321,2,2-31,2024-02-14 12:42:47,Estudio,Primera Clase,Confirmada
322,322,5,5-05,2024-01-30 11:39:41,Trabajo,Primera Clase,Pendiente
323,323,7,7-24,2024-04-20 06:13:40,Estudio,Económico,Cancelado
324,324,2,2-31,2024-11-02 13:51:23,Negocios,Económico,Pendiente
325,325,4,4-21,2024-07-05 20:34:53,Trabajo,Primera Clase,Cancelado
326,326,9,9-35,2024-11-05 11:16:55,Estudio,Primera Clase,Pendiente
327,327,10,10-17,2024-07-10 18:19:22,Turismo,Económico,Pendiente
328,328,7,7-27,2024-08-30 15:10:32,Estudio,Económico,Cancelado
329,329,6,6-33,2024-02-23 10:37:02,Trabajo,Económico,Confirmada
330,330,4,4-06,2024-01-31 20:14:21,Turismo,Económico,Pendiente
331,331,8,8-35,2024-09-23 01:37:17,Trabajo,Económico,Cancelado
332,332,6,6-02,2024-11-10 12:33:46,Estudio,Ejecutivo,Confirmada
333,333,6,6-23,2024-02-06 08:38:18,Negocios,Ejecutivo,Pendiente
334,334,9,9-36,2024-08-10 20:08:59,Estudio,Primera Clase,Pendiente
335,335,10,10-18,2024-09-02 14:23:24,Negocios,Primera Clase,Cancelado
336,336,2,2-40,2024-02-14 17:39:45,Estudio,Ejecutivo,Cancelado
337,337,10,10-04,2024-08-22 12:41:36,Turismo,Económico,Cancelado
338,338,10,10-41,2024-07-26 04:20:20,Trabajo,Económico,Pendiente
339,339,6,6-02,2024-07-10 17:30:42,Turismo,Ejecutivo,Pendiente
340,340,6,6-01,2024-06-29 01:03:00,Negocios,Económico,Pendiente
341,341,8,8-44,2024-04-18 04:43:52,Negocios,Ejecutivo,Pendiente
