id_equipaje,id_pasajero,tipo_equipaje,peso,descripcion,alto,ancho,profundidad,cobro_extra
49,23,De Bodega,11.22,Equipaje de bodega de 11.22 kg,41,34,23,50
50,23,Mano,12.97,Equipaje mano de 12.97 kg,77,20,28,0
51,24,De Bodega,12.88,Equipaje de bodega de 12.88 kg,72,48,13,50
52,25,De Bodega,30.89,Equipaje de bodega de 30.89 kg,67,36,25,100
53,25,Mano,18.92,Equipaje mano de 18.92 kg,48,43,13,0
54,26,Mano,11.63,Equipaje mano de 11.63 kg,51,38,39,0
55,27,Mano,30.05,Equipaje mano de 30.05 kg,76,25,48,0
56,28,Mano,30.32,Equipaje mano de 30.32 kg,35,50,27,0
57,28,Mano,7.86,Equipaje mano de 7.86 kg,41,40,11,0
58,29,De Bodega,25.72,Equipaje de bodega de 25.72 kg,49,27,45,100
59,30,Mano,8.75,Equipaje mano de 8.75 kg,73,53,15,0
60,30,De Bodega,11.1,Equipaje de bodega de 11.1 kg,77,51,24,100
61,31,De Bodega,28.78,Equipaje de bodega de 28.78 kg,62,45,49,0
62,32,Mano,22.3,Equipaje mano de 22.3 kg,40,48,46,0
63,32,De Bodega,26.14,Equipaje de bodega de 26.14 kg,71,20,36,0
64,32,Mano,18.11,Equipaje mano de 18.11 kg,49,38,24,0
65,33,Mano,31.74,Equipaje mano de 31.74 kg,37,25,47,0
66,34,De Bodega,10.15,Equipaje de bodega de 10.15 kg,79,34,37,0
67,34,Mano,5.16,Equipaje mano de 5.16 kg,69,55,12,0
68,34,De Bodega,5.56,Equipaje de bodega de 5.56 kg,39,24,19,50
69,35,Mano,24.08,Equipaje mano de 24.08 kg,54,37,31,0
70,36,De Bodega,22.46,Equipaje de bodega de 22.46 kg,56,38,14,0
71,36,De Bodega,18.48,Equipaje de bodega de 18.48 kg,48,58,43,0
72,36,De Bodega,18.03,Equipaje de bodega de 18.03 kg,34,29,24,0
73,37,De Bodega,30.81,Equipaje de bodega de 30.81 kg,75,22,27,0
74,38,Mano,18.32,Equipaje mano de 18.32 kg,33,60,29,0
75,38,Mano,18.07,Equipaje mano de 18.07 kg,44,32,32,0
76,38,Mano,5.76,Equipaje mano de 5.76 kg,70,48,33,0
77,39,De Bodega,9.51,Equipaje de bodega de 9.51 kg,50,20,27,0
78,40,De Bodega,12.18,Equipaje de bodega de 12.18 kg,74,57,19,100
79,40,Mano,24.3,Equipaje mano de 24.3 kg,55,41,39,0
80,40,De Bodega,19.17,Equipaje de bodega de 19.17 kg,48,59,30,100
81,41,Mano,21.24,Equipaje mano de 21.24 kg,68,34,33,0
82,41,Mano,9.0,Equipaje mano de 9.0 kg,41,25,12,0
83,42,Mano,7.73,Equipaje mano de 7.73 kg,35,49,45,0
84,42,Mano,25.26,Equipaje mano de 25.26 kg,66,44,28,0
85,43,De Bodega,21.44,Equipaje de bodega de 21.44 kg,40,27,26,50
86,43,De Bodega,21.9,Equipaje de bodega de 21.9 kg,31,46,24,50
87,44,Mano,28.12,Equipaje mano de 28.12 kg,65,36,11,0
88,44,De Bodega,21.29,Equipaje de bodega de 21.29 kg,44,40,47,50
89,45,De Bodega,24.85,Equipaje de bodega de 24.85 kg,60,29,22,0
90,45,Mano,29.09,Equipaje mano de 29.09 kg,58,56,26,0
91,45,De Bodega,27.86,Equipaje de bodega de 27.86 kg,62,47,15,50
92,46,Mano,6.92,Equipaje mano de 6.92 kg,41,22,31,0
93,46,Mano,18.42,Equipaje mano de 18.42 kg,48,50,35,0
94,47,De Bodega,29.9,Equipaje de bodega de 29.9 kg,68,59,15,0
95,47,Mano,20.32,Equipaje mano de 20.32 kg,55,32,47,0
96,47,De Bodega,25.09,Equipaje de bodega de 25.09 kg,61,43,14,0
97,48,De Bodega,7.79,Equipaje de bodega de 7.79 kg,40,50,36,0
98,48,De Bodega,9.52,Equipaje de bodega de 9.52 kg,78,35,16,0
99,48,De Bodega,22.07,Equipaje de bodega de 22.07 kg,68,58,14,100
100,49,De Bodega,24.3,Equipaje de bodega de 24.3 kg,58,36,11,50
101,49,De Bodega,18.59,Equipaje de bodega de 18.59 kg,52,27,42,0
102,50,De Bodega,16.26,Equipaje de bodega de 16.26 kg,76,58,28,50
103,51,De Bodega,10.39,Equipaje de bodega de 10.39 kg,33,55,24,50
104,51,De Bodega,11.26,Equipaje de bodega de 11.26 kg,37,38,19,100
105,52,Mano,16.32,Equipaje mano de 16.32 kg,56,56,50,0
106,52,De Bodega,9.41,Equipaje de bodega de 9.41 kg,65,52,33,100
107,53,De Bodega,9.08,Equipaje de bodega de 9.08 kg,35,32,30,0
108,54,Mano,29.6,Equipaje mano de 29.6 kg,75,28,10,0
109,54,Mano,29.44,Equipaje mano de 29.44 kg,43,46,34,0
110,55,De Bodega,10.04,Equipaje de bodega de 10.04 kg,60,39,50,0
111,55,Mano,24.37,Equipaje mano de 24.37 kg,50,59,46,0
112,56,De Bodega,22.89,Equipaje de bodega de 22.89 kg,60,57,10,50
113,56,De Bodega,7.07,Equipaje de bodega de 7.07 kg,75,25,24,100
114,57,De Bodega,7.85,Equipaje de bodega de 7.85 kg,78,36,38,0
115,58,De Bodega,15.35,Equipaje de bodega de 15.35 kg,40,32,13,50
116,58,Mano,7.81,Equipaje mano de 7.81 kg,39,42,16,0
117,59,Mano,25.59,Equipaje mano de 25.59 kg,43,33,40,0
118,59,Mano,11.05,Equipaje mano de 11.05 kg,46,37,46,0
119,60,De Bodega,12.46,Equipaje de bodega de 12.46 kg,45,44,13,50
120,60,De Bodega,13.8,Equipaje de bodega de 13.8 kg,67,21,26,100
121,61,Mano,22.81,Equipaje mano de 22.81 kg,60,58,14,0
122,62,Mano,30.27,Equipaje mano de 30.27 kg,69,41,45,0
123,62,De Bodega,10.25,Equipaje de bodega de 10.25 kg,69,57,45,0
124,63,De Bodega,19.42,Equipaje de bodega de 19.42 kg,59,59,41,50
125,64,De Bodega,7.55,Equipaje de bodega de 7.55 kg,47,52,36,0
126,64,De Bodega,28.27,Equipaje de bodega de 28.27 kg,73,47,37,100
127,64,De Bodega,14.39,Equipaje de bodega de 14.39 kg,41,35,12,50
128,65,De Bodega,15.08,Equipaje de bodega de 15.08 kg,35,23,13,100
129,65,Mano,12.24,Equipaje mano de 12.24 kg,38,44,37,0
130,66,De Bodega,11.87,Equipaje de bodega de 11.87 kg,79,58,47,0
131,67,Mano,9.38,Equipaje mano de 9.38 kg,73,29,49,0
132,68,Mano,19.48,Equipaje mano de 19.48 kg,37,20,48,0
133,69,De Bodega,5.31,Equipaje de bodega de 5.31 kg,55,24,22,100
134,69,Mano,22.42,Equipaje mano de 22.42 kg,54,28,17,0
135,69,Mano,25.37,Equipaje mano de 25.37 kg,53,20,31,0
136,70,Mano,6.44,Equipaje mano de 6.44 kg,75,35,33,0
137,70,Mano,25.37,Equipaje mano de 25.37 kg,38,54,34,0
138,71,De Bodega,31.25,Equipaje de bodega de 31.25 kg,35,48,32,100
139,71,Mano,19.35,Equipaje mano de 19.35 kg,77,22,25,0
140,72,De Bodega,25.19,Equipaje de bodega de 25.19 kg,51,26,27,0
141,72,Mano,16.55,Equipaje mano de 16.55 kg,66,41,30,0
142,73,Mano,31.57,Equipaje mano de 31.57 kg,34,45,10,0
143,73,De Bodega,29.64,Equipaje de bodega de 29.64 kg,32,47,10,50
144,74,De Bodega,7.34,Equipaje de bodega de 7.34 kg,80,29,20,0
145,75,Mano,10.22,Equipaje mano de 10.22 kg,46,46,42,0
146,75,De Bodega,29.76,Equipaje de bodega de 29.76 kg,49,39,16,100
147,75,De Bodega,20.48,Equipaje de bodega de 20.48 kg,68,45,13,0
148,76,Mano,30.51,Equipaje mano de 30.51 kg,49,36,17,0
149,76,Mano,23.77,Equipaje mano de 23.77 kg,72,45,27,0
150,77,De Bodega,12.79,Equipaje de bodega de 12.79 kg,36,47,18,0
151,78,Mano,24.64,Equipaje mano de 24.64 kg,53,54,25,0
152,78,De Bodega,11.48,Equipaje de bodega de 11.48 kg,36,46,33,0
153,78,De Bodega,22.87,Equipaje de bodega de 22.87 kg,50,46,22,50
154,79,De Bodega,31.35,Equipaje de bodega de 31.35 kg,71,30,27,0
155,79,De Bodega,8.2,Equipaje de bodega de 8.2 kg,30,24,19,50
156,80,De Bodega,29.4,Equipaje de bodega de 29.4 kg,49,46,29,100
157,81,Mano,14.67,Equipaje mano de 14.67 kg,56,27,41,0
158,81,Mano,29.04,Equipaje mano de 29.04 kg,30,27,25,0
159,82,De Bodega,6.08,Equipaje de bodega de 6.08 kg,53,58,47,50
160,83,De Bodega,5.33,Equipaje de bodega de 5.33 kg,56,26,26,50
161,83,De Bodega,21.83,Equipaje de bodega de 21.83 kg,53,58,13,0
162,84,De Bodega,27.68,Equipaje de bodega de 27.68 kg,35,22,22,50
163,84,Mano,9.93,Equipaje mano de 9.93 kg,77,56,47,0
164,85,De Bodega,13.67,Equipaje de bodega de 13.67 kg,30,25,14,100
165,85,Mano,30.63,Equipaje mano de 30.63 kg,74,54,29,0
166,86,De Bodega,20.42,Equipaje de bodega de 20.42 kg,38,44,38,0
167,87,De Bodega,28.41,Equipaje de bodega de 28.41 kg,34,26,22,50
168,87,De Bodega,21.45,Equipaje de bodega de 21.45 kg,74,30,41,100
169,88,De Bodega,30.36,Equipaje de bodega de 30.36 kg,58,36,10,0
170,88,Mano,28.27,Equipaje mano de 28.27 kg,31,55,21,0
171,89,De Bodega,22.17,Equipaje de bodega de 22.17 kg,38,51,23,100
172,89,De Bodega,13.52,Equipaje de bodega de 13.52 kg,77,20,12,50
173,90,Mano,21.98,Equipaje mano de 21.98 kg,30,24,14,0
174,91,Mano,6.68,Equipaje mano de 6.68 kg,44,39,30,0
175,91,Mano,8.21,Equipaje mano de 8.21 kg,35,55,13,0
176,92,Mano,12.73,Equipaje mano de 12.73 kg,71,31,14,0
177,92,Mano,15.52,Equipaje mano de 15.52 kg,48,27,12,0
178,93,De Bodega,25.88,Equipaje de bodega de 25.88 kg,62,20,47,100
179,93,De Bodega,7.63,Equipaje de bodega de 7.63 kg,76,31,35,100
180,94,Mano,6.51,Equipaje mano de 6.51 kg,79,57,14,0
181,94,Mano,24.24,Equipaje mano de 24.24 kg,72,27,40,0
182,94,De Bodega,7.83,Equipaje de bodega de 7.83 kg,53,29,23,50
183,95,De Bodega,17.87,Equipaje de bodega de 17.87 kg,61,52,46,100
184,96,Mano,28.39,Equipaje mano de 28.39 kg,55,39,31,0
185,97,Mano,26.02,Equipaje mano de 26.02 kg,69,24,14,0
186,98,De Bodega,8.6,Equipaje de bodega de 8.6 kg,49,20,39,100
187,98,De Bodega,10.75,Equipaje de bodega de 10.75 kg,64,50,37,100
188,99,De Bodega,8.0,Equipaje de bodega de 8.0 kg,30,39,26,0
189,99,De Bodega,24.06,Equipaje de bodega de 24.06 kg,41,36,12,50
190,100,Mano,5.71,Equipaje mano de 5.71 kg,57,58,37,0
191,101,Mano,17.07,Equipaje mano de 17.07 kg,61,33,26,0
192,101,Mano,25.05,Equipaje mano de 25.05 kg,30,59,38,0
193,101,Mano,29.89,Equipaje mano de 29.89 kg,74,39,14,0
194,102,De Bodega,23.54,Equipaje de bodega de 23.54 kg,62,44,10,50
195,102,De Bodega,31.15,Equipaje de bodega de 31.15 kg,40,24,40,50
196,103,De Bodega,10.56,Equipaje de bodega de 10.56 kg,74,44,33,50
197,103,Mano,11.06,Equipaje mano de 11.06 kg,78,26,48,0
198,103,Mano,23.62,Equipaje mano de 23.62 kg,63,45,31,0
199,104,De Bodega,21.52,Equipaje de bodega de 21.52 kg,68,29,29,0
200,104,Mano,18.75,Equipaje mano de 18.75 kg,69,50,33,0
201,105,De Bodega,15.48,Equipaje de bodega de 15.48 kg,78,52,12,0
202,106,Mano,20.79,Equipaje mano de 20.79 kg,32,55,40,0
203,107,De Bodega,31.62,Equipaje de bodega de 31.62 kg,59,25,25,100
204,107,De Bodega,26.83,Equipaje de bodega de 26.83 kg,56,47,29,100
205,107,Mano,30.38,Equipaje mano de 30.38 kg,50,42,36,0
206,108,De Bodega,28.57,Equipaje de bodega de 28.57 kg,75,50,21,0
207,108,De Bodega,17.84,Equipaje de bodega de 17.84 kg,42,55,11,0
208,108,De Bodega,17.99,Equipaje de bodega de 17.99 kg,76,31,29,100
209,109,De Bodega,20.86,Equipaje de bodega de 20.86 kg,75,35,48,0
210,109,Mano,21.51,Equipaje mano de 21.51 kg,72,48,32,0
211,110,Mano,5.33,Equipaje mano de 5.33 kg,64,49,43,0
212,110,De Bodega,16.24,Equipaje de bodega de 16.24 kg,38,35,29,0
213,111,Mano,24.09,Equipaje mano de 24.09 kg,30,46,50,0
214,112,De Bodega,20.06,Equipaje de bodega de 20.06 kg,75,40,29,50
215,112,De Bodega,10.77,Equipaje de bodega de 10.77 kg,79,48,10,100
216,112,Mano,7.23,Equipaje mano de 7.23 kg,70,53,25,0
217,113,De Bodega,10.84,Equipaje de bodega de 10.84 kg,73,27,25,0
218,114,De Bodega,24.33,Equipaje de bodega de 24.33 kg,55,51,27,0
219,114,De Bodega,15.73,Equipaje de bodega de 15.73 kg,43,44,34,50
220,114,Mano,13.99,Equipaje mano de 13.99 kg,68,59,30,0
221,115,De Bodega,27.04,Equipaje de bodega de 27.04 kg,62,27,46,50
222,115,De Bodega,27.87,Equipaje de bodega de 27.87 kg,49,31,28,100
223,116,De Bodega,6.91,Equipaje de bodega de 6.91 kg,34,43,49,50
224,116,Mano,25.66,Equipaje mano de 25.66 kg,76,58,42,0
225,117,Mano,8.16,Equipaje mano de 8.16 kg,69,51,49,0
226,118,De Bodega,20.2,Equipaje de bodega de 20.2 kg,54,42,18,0
227,118,De Bodega,6.27,Equipaje de bodega de 6.27 kg,74,38,45,100
228,119,Mano,23.9,Equipaje mano de 23.9 kg,58,23,42,0
229,119,Mano,28.74,Equipaje mano de 28.74 kg,52,48,32,0
230,120,De Bodega,26.83,Equipaje de bodega de 26.83 kg,36,46,39,100
231,120,De Bodega,8.7,Equipaje de bodega de 8.7 kg,53,22,35,50
232,121,De Bodega,27.35,Equipaje de bodega de 27.35 kg,44,28,46,0
233,122,De Bodega,5.66,Equipaje de bodega de 5.66 kg,71,31,49,0
234,122,De Bodega,16.63,Equipaje de bodega de 16.63 kg,67,41,20,0
235,122,Mano,29.84,Equipaje mano de 29.84 kg,75,52,13,0
236,123,De Bodega,31.39,Equipaje de bodega de 31.39 kg,52,32,47,100
237,123,De Bodega,27.62,Equipaje de bodega de 27.62 kg,61,28,46,100
238,124,Mano,9.59,Equipaje mano de 9.59 kg,64,40,32,0
239,124,Mano,25.43,Equipaje mano de 25.43 kg,39,56,17,0
240,124,De Bodega,26.77,Equipaje de bodega de 26.77 kg,35,53,46,0
241,125,Mano,23.35,Equipaje mano de 23.35 kg,48,20,21,0
242,126,De Bodega,30.06,Equipaje de bodega de 30.06 kg,56,37,49,100
243,127,De Bodega,7.67,Equipaje de bodega de 7.67 kg,71,28,29,50
244,127,De Bodega,20.57,Equipaje de bodega de 20.57 kg,50,27,16,50
245,128,Mano,16.8,Equipaje mano de 16.8 kg,71,54,50,0
246,129,De Bodega,5.39,Equipaje de bodega de 5.39 kg,39,57,14,100
247,129,De Bodega,31.2,Equipaje de bodega de 31.2 kg,50,32,10,0
248,130,Mano,9.66,Equipaje mano de 9.66 kg,35,36,11,0
249,131,Mano,18.3,Equipaje mano de 18.3 kg,40,26,18,0
250,132,De Bodega,5.18,Equipaje de bodega de 5.18 kg,37,24,47,100
251,132,De Bodega,14.9,Equipaje de bodega de 14.9 kg,76,51,19,100
252,133,Mano,16.97,Equipaje mano de 16.97 kg,74,39,24,0
253,134,De Bodega,15.22,Equipaje de bodega de 15.22 kg,56,21,50,50
254,134,De Bodega,7.68,Equipaje de bodega de 7.68 kg,52,59,34,0
255,135,De Bodega,29.15,Equipaje de bodega de 29.15 kg,34,56,13,100
256,136,De Bodega,21.87,Equipaje de bodega de 21.87 kg,52,23,34,50
257,136,De Bodega,5.25,Equipaje de bodega de 5.25 kg,37,20,35,0
258,137,De Bodega,15.62,Equipaje de bodega de 15.62 kg,48,50,45,0
259,138,De Bodega,12.18,Equipaje de bodega de 12.18 kg,80,22,45,0
260,139,De Bodega,18.04,Equipaje de bodega de 18.04 kg,71,23,50,50
261,139,De Bodega,29.79,Equipaje de bodega de 29.79 kg,77,55,30,0
262,140,De Bodega,18.77,Equipaje de bodega de 18.77 kg,49,36,26,0
263,141,Mano,9.79,Equipaje mano de 9.79 kg,38,43,41,0
264,141,De Bodega,25.84,Equipaje de bodega de 25.84 kg,57,55,39,100
265,142,De Bodega,22.01,Equipaje de bodega de 22.01 kg,78,20,22,0
266,143,Mano,20.41,Equipaje mano de 20.41 kg,38,26,42,0
267,144,De Bodega,20.3,Equipaje de bodega de 20.3 kg,70,47,25,100
268,144,De Bodega,6.8,Equipaje de bodega de 6.8 kg,60,38,26,50
269,144,De Bodega,19.41,Equipaje de bodega de 19.41 kg,33,50,13,50
270,145,De Bodega,7.62,Equipaje de bodega de 7.62 kg,38,52,38,50
271,146,De Bodega,13.02,Equipaje de bodega de 13.02 kg,76,26,13,50
272,146,Mano,16.91,Equipaje mano de 16.91 kg,44,23,19,0
273,146,Mano,12.87,Equipaje mano de 12.87 kg,39,37,17,0
274,147,Mano,29.81,Equipaje mano de 29.81 kg,69,45,25,0
275,147,Mano,12.6,Equipaje mano de 12.6 kg,36,26,36,0
276,147,Mano,5.6,Equipaje mano de 5.6 kg,80,53,40,0
277,148,De Bodega,14.26,Equipaje de bodega de 14.26 kg,60,41,26,50
278,148,De Bodega,22.16,Equipaje de bodega de 22.16 kg,60,32,49,100
279,149,De Bodega,20.6,Equipaje de bodega de 20.6 kg,47,23,27,50
280,149,Mano,22.39,Equipaje mano de 22.39 kg,69,43,23,0
281,149,De Bodega,5.82,Equipaje de bodega de 5.82 kg,43,55,24,100
282,150,De Bodega,16.56,Equipaje de bodega de 16.56 kg,60,32,10,100
283,151,De Bodega,30.19,Equipaje de bodega de 30.19 kg,62,50,30,100
284,151,De Bodega,30.99,Equipaje de bodega de 30.99 kg,44,54,47,0
285,152,Mano,25.77,Equipaje mano de 25.77 kg,61,49,46,0
286,153,De Bodega,10.38,Equipaje de bodega de 10.38 kg,41,30,44,100
287,153,De Bodega,6.99,Equipaje de bodega de 6.99 kg,66,42,11,0
288,154,De Bodega,7.23,Equipaje de bodega de 7.23 kg,72,39,33,50
289,154,Mano,16.68,Equipaje mano de 16.68 kg,73,34,45,0
290,154,De Bodega,5.14,Equipaje de bodega de 5.14 kg,62,26,37,0
291,155,Mano,18.74,Equipaje mano de 18.74 kg,54,36,50,0
292,155,De Bodega,23.23,Equipaje de bodega de 23.23 kg,48,53,15,50
293,156,De Bodega,24.49,Equipaje de bodega de 24.49 kg,78,20,16,50
294,157,De Bodega,31.62,Equipaje de bodega de 31.62 kg,75,36,50,0
295,157,De Bodega,17.27,Equipaje de bodega de 17.27 kg,50,33,22,50
296,158,Mano,25.42,Equipaje mano de 25.42 kg,62,33,38,0
297,158,Mano,31.11,Equipaje mano de 31.11 kg,35,54,49,0
298,159,Mano,19.56,Equipaje mano de 19.56 kg,62,56,20,0
299,159,Mano,23.62,Equipaje mano de 23.62 kg,71,52,44,0
300,159,De Bodega,25.55,Equipaje de bodega de 25.55 kg,71,39,41,100
301,160,Mano,22.0,Equipaje mano de 22.0 kg,39,24,25,0
302,160,De Bodega,11.06,Equipaje de bodega de 11.06 kg,35,49,14,100
303,161,De Bodega,27.95,Equipaje de bodega de 27.95 kg,71,45,37,50
304,161,Mano,27.76,Equipaje mano de 27.76 kg,38,43,35,0
305,162,Mano,31.22,Equipaje mano de 31.22 kg,77,26,49,0
306,162,De Bodega,23.49,Equipaje de bodega de 23.49 kg,59,25,18,100
307,162,De Bodega,23.42,Equipaje de bodega de 23.42 kg,38,56,27,0
308,163,Mano,10.93,Equipaje mano de 10.93 kg,68,60,34,0
309,163,De Bodega,10.39,Equipaje de bodega de 10.39 kg,72,36,25,50
310,163,Mano,16.86,Equipaje mano de 16.86 kg,76,60,49,0
311,164,Mano,10.8,Equipaje mano de 10.8 kg,44,34,10,0
312,164,De Bodega,8.09,Equipaje de bodega de 8.09 kg,45,26,27,100
313,164,Mano,25.54,Equipaje mano de 25.54 kg,71,25,39,0
314,165,De Bodega,29.8,Equipaje de bodega de 29.8 kg,51,42,45,50
315,165,Mano,30.54,Equipaje mano de 30.54 kg,38,57,11,0
316,166,De Bodega,26.33,Equipaje de bodega de 26.33 kg,36,24,42,100
317,166,Mano,27.98,Equipaje mano de 27.98 kg,67,49,32,0
318,167,De Bodega,12.54,Equipaje de bodega de 12.54 kg,31,22,46,0
319,167,Mano,6.22,Equipaje mano de 6.22 kg,62,59,26,0
320,168,De Bodega,15.06,Equipaje de bodega de 15.06 kg,65,49,23,50
321,169,Mano,10.06,Equipaje mano de 10.06 kg,52,47,40,0
322,170,Mano,12.71,Equipaje mano de 12.71 kg,44,22,25,0
323,171,Mano,24.71,Equipaje mano de 24.71 kg,58,57,36,0
324,172,De Bodega,14.47,Equipaje de bodega de 14.47 kg,40,35,12,100
325,172,Mano,17.88,Equipaje mano de 17.88 kg,60,26,23,0
326,172,De Bodega,15.27,Equipaje de bodega de 15.27 kg,32,40,45,100
327,173,Mano,22.34,Equipaje mano de 22.34 kg,80,55,32,0
328,174,Mano,12.75,Equipaje mano de 12.75 kg,39,47,36,0
329,175,De Bodega,10.63,Equipaje de bodega de 10.63 kg,65,55,13,0
330,175,Mano,10.58,Equipaje mano de 10.58 kg,41,41,18,0
331,176,De Bodega,24.05,Equipaje de bodega de 24.05 kg,69,45,32,50
332,177,De Bodega,29.76,Equipaje de bodega de 29.76 kg,75,57,27,100
333,178,Mano,28.66,Equipaje mano de 28.66 kg,36,21,24,0
334,178,De Bodega,27.37,Equipaje de bodega de 27.37 kg,57,27,40,50
335,179,Mano,15.8,Equipaje mano de 15.8 kg,36,42,23,0
336,179,De Bodega,14.68,Equipaje de bodega de 14.68 kg,74,20,20,50
337,179,De Bodega,31.56,Equipaje de bodega de 31.56 kg,72,43,35,100
338,180,De Bodega,16.46,Equipaje de bodega de 16.46 kg,55,44,19,50
339,180,De Bodega,23.75,Equipaje de bodega de 23.75 kg,50,21,50,0
340,181,De Bodega,18.62,Equipaje de bodega de 18.62 kg,32,45,14,100
341,181,De Bodega,13.0,Equipaje de bodega de 13.0 kg,37,50,43,50
342,181,De Bodega,15.59,Equipaje de bodega de 15.59 kg,53,30,20,50
343,182,De Bodega,24.47,Equipaje de bodega de 24.47 kg,38,37,17,50
344,182,De Bodega,6.15,Equipaje de bodega de 6.15 kg,64,23,24,50
345,183,Mano,9.04,Equipaje mano de 9.04 kg,60,43,33,0
346,183,De Bodega,31.81,Equipaje de bodega de 31.81 kg,45,44,12,100
347,184,Mano,7.08,Equipaje mano de 7.08 kg,80,55,39,0
348,184,Mano,5.03,Equipaje mano de 5.03 kg,34,58,33,0
349,184,De Bodega,30.07,Equipaje de bodega de 30.07 kg,35,45,21,100
350,185,De Bodega,5.63,Equipaje de bodega de 5.63 kg,41,33,13,50
351,185,Mano,29.65,Equipaje mano de 29.65 kg,36,53,24,0
352,185,De Bodega,26.6,Equipaje de bodega de 26.6 kg,69,49,37,100
353,186,Mano,28.6,Equipaje mano de 28.6 kg,39,44,12,0
354,186,Mano,10.13,Equipaje mano de 10.13 kg,47,20,43,0
355,186,Mano,5.35,Equipaje mano de 5.35 kg,40,42,35,0
356,187,De Bodega,7.82,Equipaje de bodega de 7.82 kg,61,42,12,100
357,187,Mano,19.55,Equipaje mano de 19.55 kg,55,50,32,0
358,188,Mano,20.25,Equipaje mano de 20.25 kg,69,47,26,0
359,189,Mano,28.91,Equipaje mano de 28.91 kg,49,53,26,0
360,189,De Bodega,16.14,Equipaje de bodega de 16.14 kg,75,45,50,50
361,189,Mano,6.58,Equipaje mano de 6.58 kg,48,46,41,0
362,190,Mano,7.43,Equipaje mano de 7.43 kg,60,38,15,0
363,190,Mano,19.38,Equipaje mano de 19.38 kg,72,42,14,0
